               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044985,            0.013027,           0.0021853,             0.59999,                 0.9,             0.83268,             0.42003,            0.023268,            0.005301,           0.0012108,            0.004225,            0.004225,            0.004225
                  37,             0.04308,            0.012879,           0.0021991,             0.69619,                   1,                0.92,             0.72384,            0.020971,           0.0050888,           0.0012012,             0.00406,             0.00406,             0.00406
                  38,            0.041508,            0.013762,           0.0020764,              0.7048,                   1,                0.87,             0.49787,            0.021208,           0.0051117,           0.0012768,            0.003895,            0.003895,            0.003895
                  39,            0.050386,            0.014643,           0.0019712,             0.89266,                   1,               0.945,             0.73523,            0.019037,           0.0048876,           0.0012325,             0.00373,             0.00373,             0.00373
                  40,            0.033983,            0.014456,           0.0019281,             0.94038,             0.89092,             0.97833,              0.7055,            0.023832,           0.0048876,           0.0012901,            0.003565,            0.003565,            0.003565
                  41,            0.037128,            0.012605,           0.0018138,             0.97496,                   1,               0.995,             0.72071,            0.019222,           0.0048261,           0.0012634,              0.0034,              0.0034,              0.0034
                  42,            0.038822,            0.012281,           0.0030241,             0.86537,                   1,             0.92833,              0.4414,            0.021857,           0.0049539,           0.0012592,            0.003235,            0.003235,            0.003235
                  43,            0.035976,             0.01336,           0.0024082,             0.97636,                   1,               0.995,             0.69933,            0.016994,           0.0048108,           0.0012165,             0.00307,             0.00307,             0.00307
                  44,            0.037837,            0.012368,           0.0016339,             0.87785,                   1,               0.945,             0.52925,            0.018934,           0.0048442,           0.0011665,            0.002905,            0.002905,            0.002905
                  45,            0.050421,            0.014439,           0.0017517,             0.97637,                   1,               0.995,              0.7663,            0.015859,           0.0047479,           0.0011257,             0.00274,             0.00274,             0.00274
                  46,            0.027331,              0.0123,           0.0014685,             0.69476,                   1,               0.845,             0.56024,            0.019204,           0.0048447,           0.0010666,            0.002575,            0.002575,            0.002575
                  47,            0.040712,            0.013564,           0.0018958,             0.97401,                   1,               0.995,              0.8167,            0.014918,           0.0046554,           0.0010361,             0.00241,             0.00241,             0.00241
                  48,            0.027828,             0.01183,            0.001896,             0.97335,                   1,               0.995,              0.6737,            0.015374,           0.0047112,           0.0010105,            0.002245,            0.002245,            0.002245
                  49,            0.026477,            0.012828,           0.0018334,             0.96821,                   1,               0.995,             0.72827,            0.015188,           0.0045729,           0.0010017,             0.00208,             0.00208,             0.00208
                  50,             0.02569,            0.011401,           0.0020855,             0.97081,                   1,               0.995,             0.72536,            0.012115,           0.0045276,          0.00099144,            0.001915,            0.001915,            0.001915
                  51,            0.032764,            0.013044,           0.0014148,              0.9709,                   1,               0.995,             0.71744,            0.016143,           0.0045147,           0.0009716,             0.00175,             0.00175,             0.00175
                  52,            0.039368,            0.011025,           0.0014906,             0.97294,                   1,               0.995,             0.73824,            0.012482,           0.0043788,          0.00095863,            0.001585,            0.001585,            0.001585
                  53,            0.020663,            0.012703,           0.0011761,             0.97058,                   1,               0.995,             0.82425,            0.012387,           0.0043416,          0.00093441,             0.00142,             0.00142,             0.00142
                  54,            0.024703,            0.012411,           0.0030232,             0.96983,                   1,               0.995,             0.74616,            0.011468,           0.0042429,          0.00093288,            0.001255,            0.001255,            0.001255
                  55,            0.044986,            0.013826,           0.0014226,             0.97215,                   1,               0.995,             0.77657,            0.013425,           0.0042539,          0.00092602,             0.00109,             0.00109,             0.00109
                  56,            0.021536,            0.011352,           0.0011545,               0.971,                   1,               0.995,             0.76484,            0.011685,           0.0042019,          0.00090885,            0.000925,            0.000925,            0.000925
                  57,             0.02498,            0.012963,           0.0015495,             0.97118,                   1,               0.995,             0.82862,            0.010349,           0.0040736,          0.00089722,             0.00076,             0.00076,             0.00076
                  58,            0.032005,            0.011688,           0.0017434,             0.97093,                   1,               0.995,             0.78182,            0.010896,           0.0041161,          0.00090046,            0.000595,            0.000595,            0.000595
                  59,            0.016079,            0.010999,          0.00098298,             0.97345,                   1,               0.995,             0.78289,            0.010794,           0.0040894,          0.00089664,             0.00043,             0.00043,             0.00043
